ID,price
0,13851.622
1,17478.156
2,16059.027
3,13116.944
4,20129.07
5,13173.541
6,12949.752
7,15026.452
8,13706.356
9,13520.599
10,14682.88
11,19292.084
12,12953.167
13,15042.683
14,14230.796
15,15066.45
16,14512.801
17,14700.916
18,16474.938
19,16758.387
20,15254.734
21,13546.098
22,13372.286
23,14476.42
24,22297.6
25,13517.296
26,13058.167
27,14366.895
28,12938.199
29,15904.297
30,15917.273
31,14116.574
32,14478.118
33,14329.265
34,14633.61
35,13026.426
36,14027.172
37,15111.799
38,19588.197
39,13419.568
40,18234.809
41,12947.352
42,13942.132
43,13354.213
44,14214.029
45,16065.269
46,13484.691
47,13355.572
48,15009.243
49,15529.004
50,12942.896
51,14176.251
52,13256.705
53,17039.557
54,16549.877
55,13068.728
56,17716.172
57,13817.336
58,14560.42
59,17897.594
60,13118.122
61,13235.099
62,17494.902
63,13295.526
64,14904.214
65,13198.698
66,13392.406
67,15745.122
68,15627.726
69,15946.061
70,13780.718
71,13838.821
72,16337.069
73,15240.31
74,16577.295
75,15637.687
76,13607.393
77,14534.298
78,14725.166
79,13352.264
80,14211.535
81,14956.846
82,14585.236
83,15340.548
84,14459.424
85,14209.571
86,15455.505
87,13294.563
88,17087.768
89,14498.898
90,13950.31
91,14074.769
92,15669.059
93,15732.372
94,17417.498
95,13258.387
96,13840.061
97,13921.006
98,13667.171
99,13204.272
100,13204.08
101,15679.884
102,14710.554
103,15773.403
104,13354.513
105,15225.595
106,18292.328
107,15198.237
108,14939.351
109,14859.439
110,19776.504
111,15372.912
112,13994.25
113,13140.203
114,13604.896
115,13239.11
116,14993.545
117,15605.805
118,14657.753
119,14757.624
120,15875.54
121,13236.269
122,13100.445
123,13301.649
124,14719.012
125,17564.4
126,18217.084
127,14131.1455
128,18599.412
129,16168.933
130,15876.339
131,13780.412
132,14422.355
133,13314.915
134,20711.883
135,25369.785
136,15559.123
137,14304.076
138,16428.973
139,13340.072
140,14449.987
141,17147.287
142,13080.734
143,15812.773
144,18732.346
145,15216.864
146,18887.62
147,13194.619
148,15035.612
149,15760.28
150,18482.66
151,14389.632
152,20343.57
153,13736.403
154,13142.415
155,13493.049
156,16136.599
157,14344.928
158,14562.202
159,15539.519
160,16580.004
161,27872.332
162,13686.882
163,14991.863
164,13284.853
165,15577.294
166,15808.676
167,13503.135
168,14883.075
169,13078.421
170,16495.557
171,16464.016
172,16397.025
173,17667.459
174,17635.916
175,14460.727
176,12940.02
177,13321.9
178,13219.101
179,16275.465
180,15905.79
181,13593.524
182,15535.7
183,14741.91
184,13827.689
185,14752.356
186,13647.911
187,14186.497
188,13309.772
189,14533.814
190,14731.32
191,15311.948
192,13154.713
193,16636.355
194,15187.379
195,13709.439
196,13623.986
197,17359.297
198,13727.49
199,15448.028
200,13024.393
201,15683.584
202,14714.001
203,22595.697
204,15794.618
205,15242.289
206,21083.145
207,16616.979
208,13445.717
209,13185.128
210,13380.22
211,13893.099
212,15031.003
213,14532.454
214,13666.062
215,15577.573
216,15379.437
217,13503.058
218,14287.073
219,14151.093
220,21240.316
221,12986.787
222,13471.558
223,14617.291
224,14190.299
225,16176.344
226,14672.967
227,16480.604
228,14274.867
229,19281.453
230,13272.604
231,15309.557
232,13776.215
233,13319.226
234,15328.506
235,15578.5625
236,13431.344
237,22546.66
238,13044.733
239,15411.388
240,16211.118
241,14058.612
242,15374.361
243,13887.517
244,16687.52
245,14315.037
246,14702.381
247,14599.681
248,13538.356
249,15579.036
250,16516.883
251,15935.497
252,14181.378
253,16736.24
254,15525.7295
255,14386.959
256,19175.47
257,17941.129
258,14774.1
259,14098.622
260,13211.677
261,15385.146
262,15286.372
263,14982.484
264,13536.686
265,13599.746
266,14134.995
267,16272.82
268,15166.478
269,12935.513
270,13197.899
271,13187.825
272,13376.722
273,14923.356
274,14250.433
275,13435.643
276,14338.668
277,16366.288
278,14395.108
279,13546.688
280,13444.132
281,15384.66
282,14273.007
283,23054.492
284,16969.047
285,14336.831
286,15061.26
287,13029.74
288,15788.053
289,14211.435
290,14802.467
291,14446.559
292,13521.921
293,15671.536
294,15018.047
295,12944.202
296,24086.51
297,17143.486
298,13595.334
299,13166.882
300,15408.59
301,15316.461
302,13488.6045
303,12954.97
304,13589.093
305,14753.092
306,13275.018
307,15757.702
308,14108.08
309,15094.484
310,14796.33
311,15987.579
312,21708.229
313,15171.198
314,14397.099
315,15741.341
316,14934.612
317,13827.23
318,13235.344
319,14748.801
320,13685.066
321,13211.566
322,14425.332
323,17374.396
324,13769.405
325,14199.505
326,15910.954
327,14779.015
328,12939.459
329,17245.498
330,14443.094
331,14114.941
332,14194.914
333,14290.665
334,13494.694
335,15406.504
336,16977.432
337,14055.699
338,13431.641
339,15878.93
340,13770.504
341,18397.498
342,18759.791
343,13675.929
344,13966.324
345,13029.745
346,15455.726
347,18056.67
348,15190.416
349,13667.448
350,14072.724
351,14310.705
352,13204.376
353,17162.045
354,13986.818
355,14328.284
356,15908.386
357,14287.919
358,14779.289
359,14799.795
360,14309.6
361,15805.416
362,15401.278
363,12951.401
364,16064.138
365,15924.183
366,16125.274
367,14156.069
368,15903.284
369,14588.409
370,13994.837
371,13971.532
372,13827.073
373,13661.444
374,14122.415
375,14949.882
376,14470.543
377,20939.848
378,13927.681
379,18923.986
380,13759.6045
381,16499.889
382,12871.012
383,19498.309
384,15166.999
385,15898.087
386,14321.744
387,14452.975
388,13939.849
389,14427.81
390,17827.393
391,15408.649
392,12925.23
393,14034.973
394,14575.173
395,12948.428
396,15638.288
397,13038.621
398,15553.798
399,18240.273
400,19955.854
401,15693.106
402,14510.906
403,15091.376
404,13892.155
405,14435.938
406,13344.477
407,14401.088
408,18709.412
409,19761.68
410,14019.362
411,14295.458
412,14262.635
413,21005.324
414,17250.428
415,13054.273
416,14334.603
417,13123.22
418,14714.789
419,13205.295
420,20576.184
421,14378.21
422,14105.853
423,14062.97
424,18538.887
425,15689.422
426,19678.244
427,13717.097
428,14069.582
429,13141.156
430,13804.957
431,14573.625
432,15595.201
433,19283.164
434,16234.578
435,14324.839
436,16317.197
437,15519.2705
438,21048.266
439,17023.234
440,13613.241
441,17775.955
442,15907.079
443,17723.637
444,15493.958
445,16529.447
446,15009.156
447,16597.262
448,14589.223
